Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
24965,Fear and Trembling,Søren Kierkegaard,"Kierkegaard, Søren",Alastair Hannay,"=""0143037579""","=""9780143037576""",0,Penguin Books,Paperback,152,2006,1843,2026/01/18,2026/01/12,,,read,,,,1,0
17856209,Η Χαρούμενη Επιστήμη,Friedrich Nietzsche,"Nietzsche, Friedrich",Ζήσης Σαρίκας,"=""""","=""9789609470056""",0,ΠΑΝΟΠΤΙΚΟΝ,Paperback,432,2010,1882,,2026/01/15,to-read,to-read (#412),to-read,,,,0,0
6083199,Αντιγνώση: Τα δεκανίκια του καπιταλισμού,Λιλή Ζωγράφου,"Ζωγράφου, Λιλή",,"=""9602210907""","=""9789602210901""",0,Εκδόσεις Αλεξάνδρεια,Paperback,470,1974,1974,,2026/01/15,to-read,to-read (#411),to-read,,,,0,0
245706481,Εγκώμιο αποτυχίας: Τέσσερα μαθήματα ταπεινότητας,Costică Brădățan,"Brădățan, Costică",Πέτρος Γεωργίου,"=""6182490195""","=""9786182490198""",0,Εκδόσεις Πεδίο,Paperback,400,2025,2023,,2026/01/15,to-read,to-read (#410),to-read,,,,0,0
38618629,Η γυναίκα στο παράθυρο,A.J. Finn,"Finn, A.J.",Αναστάσιος Αργυρίου,"=""6180123721""","=""9786180123722""",0,Ψυχογιός,Paperback,512,2018,2018,,2026/01/15,to-read,to-read (#409),to-read,,,,0,0
21824181,Metaprogramming Ruby 2: Program Like the Ruby Pros (Facets of Ruby),Paolo Perrotta,"Perrotta, Paolo",,"=""1941222129""","=""9781941222126""",4,Pragmatic Bookshelf,Paperback,280,2014,2014,2023/06/19,2023/05/18,science,science (#1),read,,,,1,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",4,St. Martin's Griffin,Paperback,264,2004,1939,2019/12/28,2019/12/11,thriller-horror-mystery,thriller-horror-mystery (#6),read,,,,1,0
11512587,Οι απόψεις ενός κλόουν,Heinrich Böll,"Böll, Heinrich",Τζένη Μαστοράκη,"=""9603291196""","=""9789603291190""",4,Γράμματα,Paperback,252,1986,1963,2024/08/31,2024/04/03,novels,novels (#38),read,,,,1,0
55354,Napalm & Silly Putty,George Carlin,"Carlin, George",,"=""0786887583""","=""9780786887583""",4,Hachette Books,Paperback,269,2002,2001,2014/07/23,2014/07/12,comedy-humor,comedy-humor (#12),read,,,,1,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",4,New American Library,Mass Market Paperback,328,1950,1948,,2012/10/20,"sci-fi, thriller-horror-mystery","sci-fi (#10), thriller-horror-mystery (#41)",read,,,,1,0
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,"=""0060557818""","=""9780060557812""",4,William Morrow Paperbacks,Paperback,370,2003,1996,2018/01/24,2018/01/04,novels,novels (#15),read,,,,1,0
